Measurement file name;pun213703(lying down).scco
Measurement name;Measurement;;;Measurement;;;Measurement;;;Measurement;;
Date;3/1/2022;;;3/1/2022;;;3/1/2022;;;3/1/2022;;
Time;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;
Channel name;S/N 1947158622;;;S/N 1947158622;;;S/N 1948131903;;;S/N 1948131903;;
Unit;bar;;;°C;;;L/min;;;°C;;
Channel index;Channel A1;;;Channel A2;;;Channel A3;;;Channel A4;;
Time [s] / Points;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value
00:00:01.990;109.850;118.370;119.650;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:02;118.050;121.810;116.770;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.010;114.570;124.170;126.170;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.020;123.490;131.210;119.970;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.030;111.170;117.850;119.570;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.040;118.770;123.090;118.770;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.050;115.250;122.170;123.690;28.505;28.505;28.505;23.820;23.820;23.820;30.999;30.999;30.999
00:00:02.060;119.050;127.530;115.770;28.505;28.505;28.505;23.820;23.820;23.820;30.999;30.999;30.999
00:00:02.070;112.370;120.810;121.970;28.505;28.505;28.505;23.820;23.820;23.820;30.999;30.999;30.999
00:00:02.080;118.970;123.290;117.850;28.505;28.505;28.505;23.820;23.820;23.820;30.999;30.999;30.999
00:00:02.090;116.170;122.290;123.890;28.505;28.505;28.505;23.820;23.820;23.820;30.999;30.999;30.999
00:00:02.100;117.370;128.210;113.090;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.110;109.730;118.450;120.170;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.120;121.090;124.370;119.770;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.130;117.770;122.970;124.490;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.140;119.970;128.330;115.850;28.505;28.505;28.505;23.081;23.081;23.081;30.999;30.999;30.999
00:00:02.150;109.850;119.250;120.250;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:02.160;117.250;121.810;115.970;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:02.170;115.250;126.290;127.530;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:02.180;120.450;131.610;116.050;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:02.190;110.970;119.250;120.810;28.505;28.505;28.505;22.200;22.200;22.200;30.999;30.999;30.999
00:00:02.200;117.770;122.770;117.770;28.505;28.505;28.505;23.243;23.243;23.243;30.999;30.999;30.999
